district,state,date,fire_count,year,month,day,day_of_season
Faridkot,Punjab,2023-10-06,3,2023,10,6,6
Fatehgarh Sahib,Punjab,2023-10-06,0,2023,10,6,6
Fazilka,Punjab,2023-10-06,0,2023,10,6,6
Ferozepur,Punjab,2023-10-06,5,2023,10,6,6
Gurdaspur,Punjab,2023-10-06,2,2023,10,6,6
Hoshiarpur,Punjab,2023-10-06,0,2023,10,6,6
Jalandhar,Punjab,2023-10-06,5,2023,10,6,6
Kapurthala,Punjab,2023-10-06,8,2023,10,6,6
Ludhiana,Punjab,2023-10-06,3,2023,10,6,6
Malerkotla,Punjab,2023-10-06,4,2023,10,6,6
Mansa,Punjab,2023-10-06,1,2023,10,6,6
Moga,Punjab,2023-10-06,2,2023,10,6,6
Pathankot,Punjab,2023-10-06,0,2023,10,6,6
Patiala,Punjab,2023-10-06,19,2023,10,6,6
Rupnagar,Punjab,2023-10-06,0,2023,10,6,6
S A S Nagar,Punjab,2023-10-06,5,2023,10,6,6
Sangrur,Punjab,2023-10-06,12,2023,10,6,6
Shahid Bhagat Singh Nagar,Punjab,2023-10-06,1,2023,10,6,6
Sri Muktsar Sahib,Punjab,2023-10-06,0,2023,10,6,6
Tarn Taran,Punjab,2023-10-06,23,2023,10,6,6
Ambala,Haryana,2023-10-07,10,2023,10,7,7
Bhiwani,Haryana,2023-10-07,1,2023,10,7,7
Charkhi Dadri,Haryana,2023-10-07,0,2023,10,7,7
Faridabad,Haryana,2023-10-07,2,2023,10,7,7
Fatehabad,Haryana,2023-10-07,4,2023,10,7,7
Gurugram,Haryana,2023-10-07,0,2023,10,7,7
Hisar,Haryana,2023-10-07,8,2023,10,7,7
Jhajjar,Haryana,2023-10-07,3,2023,10,7,7
Jind,Haryana,2023-10-07,6,2023,10,7,7
Kaithal,Haryana,2023-10-07,7,2023,10,7,7
Karnal,Haryana,2023-10-07,0,2023,10,7,7
Kurukshetra,Haryana,2023-10-07,8,2023,10,7,7
Mahendragarh,Haryana,2023-10-07,0,2023,10,7,7
Nuh,Haryana,2023-10-07,0,2023,10,7,7
Palwal,Haryana,2023-10-07,6,2023,10,7,7
Panchkula,Haryana,2023-10-07,2,2023,10,7,7
Panipat,Haryana,2023-10-07,4,2023,10,7,7
Rewari,Haryana,2023-10-07,0,2023,10,7,7
Rohtak,Haryana,2023-10-07,1,2023,10,7,7
Sirsa,Haryana,2023-10-07,0,2023,10,7,7
Sonipat,Haryana,2023-10-07,3,2023,10,7,7
Yamunanagar,Haryana,2023-10-07,9,2023,10,7,7
Amritsar,Punjab,2023-10-07,88,2023,10,7,7
Barnala,Punjab,2023-10-07,2,2023,10,7,7
Bathinda,Punjab,2023-10-07,1,2023,10,7,7
Faridkot,Punjab,2023-10-07,2,2023,10,7,7
Fatehgarh Sahib,Punjab,2023-10-07,2,2023,10,7,7
Fazilka,Punjab,2023-10-07,0,2023,10,7,7
Ferozepur,Punjab,2023-10-07,8,2023,10,7,7
Gurdaspur,Punjab,2023-10-07,5,2023,10,7,7
Hoshiarpur,Punjab,2023-10-07,0,2023,10,7,7
Jalandhar,Punjab,2023-10-07,2,2023,10,7,7
Kapurthala,Punjab,2023-10-07,11,2023,10,7,7
Ludhiana,Punjab,2023-10-07,3,2023,10,7,7
Malerkotla,Punjab,2023-10-07,0,2023,10,7,7
Mansa,Punjab,2023-10-07,3,2023,10,7,7
Moga,Punjab,2023-10-07,0,2023,10,7,7
Pathankot,Punjab,2023-10-07,0,2023,10,7,7
Patiala,Punjab,2023-10-07,13,2023,10,7,7
Rupnagar,Punjab,2023-10-07,0,2023,10,7,7
S A S Nagar,Punjab,2023-10-07,3,2023,10,7,7
Sangrur,Punjab,2023-10-07,8,2023,10,7,7
Shahid Bhagat Singh Nagar,Punjab,2023-10-07,0,2023,10,7,7
Sri Muktsar Sahib,Punjab,2023-10-07,0,2023,10,7,7
Tarn Taran,Punjab,2023-10-07,17,2023,10,7,7
Ambala,Haryana,2023-10-08,22,2023,10,8,8
Bhiwani,Haryana,2023-10-08,0,2023,10,8,8
Charkhi Dadri,Haryana,2023-10-08,0,2023,10,8,8
Faridabad,Haryana,2023-10-08,0,2023,10,8,8
Fatehabad,Haryana,2023-10-08,16,2023,10,8,8
Gurugram,Haryana,2023-10-08,0,2023,10,8,8
Hisar,Haryana,2023-10-08,14,2023,10,8,8
Jhajjar,Haryana,2023-10-08,1,2023,10,8,8
Jind,Haryana,2023-10-08,16,2023,10,8,8
Kaithal,Haryana,2023-10-08,10,2023,10,8,8
Karnal,Haryana,2023-10-08,6,2023,10,8,8
Kurukshetra,Haryana,2023-10-08,12,2023,10,8,8
Mahendragarh,Haryana,2023-10-08,1,2023,10,8,8
Nuh,Haryana,2023-10-08,0,2023,10,8,8
Palwal,Haryana,2023-10-08,9,2023,10,8,8
Panchkula,Haryana,2023-10-08,2,2023,10,8,8
