date,state,district,latitude,longitude,T2M,RH2M,WS2M,PRECTOTCORR
2023-10-03,Haryana,Faridabad,28.357120662974943,77.32652466206271,24.21,54.42,2.11,0.0
2023-10-03,Haryana,Fatehabad,29.535920901544625,75.57529013938226,27.35,34.21,1.84,0.0
2023-10-03,Haryana,Gurugram,28.37015524993778,76.94146217624308,26.15,40.84,2.08,0.0
2023-10-03,Haryana,Hisar,29.239590948148248,75.81763293528249,28.14,29.15,1.96,0.0
2023-10-03,Haryana,Jhajjar,28.59801797300188,76.65110859741466,26.15,40.84,2.08,0.0
2023-10-03,Haryana,Jind,29.437717022786757,76.27614551401206,26.12,39.74,2.19,0.0
2023-10-03,Haryana,Kaithal,29.85338633918043,76.46879317699411,24.41,50.05,2.11,0.0
2023-10-03,Haryana,Karnal,29.704818373204336,76.91565469449591,24.43,50.24,2.36,0.0
2023-10-03,Haryana,Kurukshetra,30.060670122952907,76.7631052787682,22.94,65.87,2.3,0.0
2023-10-03,Haryana,Mahendragarh,28.13306603907548,76.16809085698935,26.73,38.0,1.86,0.0
2023-10-03,Haryana,Nuh,27.994038226060827,77.0415066894139,26.1,43.36,1.94,0.0
2023-10-03,Haryana,Palwal,28.059881010119238,77.32236384154979,24.86,52.53,1.96,0.0
2023-10-03,Haryana,Panchkula,30.699534905048324,76.98763552598416,22.65,72.91,2.16,0.0
2023-10-03,Haryana,Panipat,29.34200687791469,76.88923900130017,24.43,50.24,2.36,0.0
2023-10-03,Haryana,Rewari,28.218052063163164,76.58132633069286,26.1,43.36,1.94,0.0
2023-10-03,Haryana,Rohtak,28.890391271768912,76.58711212346486,25.71,42.33,2.29,0.0
2023-10-03,Haryana,Sirsa,29.607701636133694,74.90219049734955,27.29,37.77,1.66,0.0
2023-10-03,Haryana,Sonipat,29.04144661205219,76.92269022620889,25.71,42.33,2.29,0.0
2023-10-03,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,22.95,76.42,1.7,0.0
2023-10-03,Punjab,Amritsar,31.768348175268173,74.83152910633842,24.47,60.08,1.08,0.09
2023-10-03,Punjab,Barnala,30.371680221986,75.50398867541129,24.87,50.95,1.51,0.0
2023-10-03,Punjab,Bathinda,30.17871971019124,75.04726349831094,26.51,44.28,1.49,0.0
2023-10-03,Punjab,Faridkot,30.601450692214996,74.7950175816776,25.82,48.35,1.32,0.0
2023-10-03,Punjab,Fatehgarh Sahib,30.66340418174693,76.38030000408074,23.34,61.24,1.89,0.0
2023-10-03,Punjab,Fazilka,30.31980391667596,74.12171938317266,26.51,45.28,1.41,0.0
2023-10-03,Punjab,Ferozepur,30.87509200657761,74.65246116977548,25.86,49.6,1.36,0.0
2023-10-03,Punjab,Gurdaspur,31.9037264151506,75.2275586781716,24.47,60.08,1.08,0.09
2023-10-03,Punjab,Hoshiarpur,31.609219596154738,75.84642415551608,24.26,59.91,1.33,0.01
2023-10-03,Punjab,Jalandhar,31.29216013175042,75.56799015005336,24.26,59.91,1.33,0.01
2023-10-03,Punjab,Kapurthala,31.385696002099188,75.30507242617082,24.71,56.06,1.19,0.01
2023-10-03,Punjab,Ludhiana,30.7894070063378,75.8269723540071,24.24,56.19,1.37,0.0
2023-10-03,Punjab,Malerkotla,30.53539665453949,75.90930476301081,24.87,50.95,1.51,0.0
2023-10-03,Punjab,Mansa,29.87609304897272,75.48897114252104,25.96,44.13,1.7,0.0
2023-10-03,Punjab,Moga,30.78789813490662,75.15948622899586,25.16,52.86,1.25,0.0
2023-10-03,Punjab,Pathankot,32.30240743677128,75.65917183518236,21.19,66.8,1.42,0.08
2023-10-03,Punjab,Patiala,30.209446568832767,76.3401900977164,24.41,50.05,2.11,0.0
2023-10-03,Punjab,Rupnagar,31.091852137104816,76.52884261538372,23.63,64.41,1.7,0.0
2023-10-03,Punjab,S A S Nagar,30.648369118470583,76.74153537716319,22.65,72.91,2.16,0.0
2023-10-03,Punjab,Sangrur,30.13610603133042,75.85318872676024,25.96,44.13,1.7,0.0
2023-10-03,Punjab,Shahid Bhagat Singh Nagar,31.1269689351848,76.15989883059602,23.63,64.41,1.7,0.0
2023-10-03,Punjab,Sri Muktsar Sahib,30.2867161417038,74.52622342534394,26.51,45.28,1.41,0.0
2023-10-03,Punjab,Tarn Taran,31.321239581691398,74.84163356037237,24.71,56.06,1.19,0.01
2023-10-04,Haryana,Ambala,30.343438108912817,76.95024921469127,24.03,72.04,1.74,0.0
2023-10-04,Haryana,Bhiwani,28.73219288472609,75.89337821950218,28.16,32.93,2.1,0.0
2023-10-04,Haryana,Charkhi Dadri,28.600107403877978,76.11252943314335,27.34,41.15,2.08,0.0
2023-10-04,Haryana,Faridabad,28.357120662974943,77.32652466206271,24.48,59.09,1.94,0.0
2023-10-04,Haryana,Fatehabad,29.535920901544625,75.57529013938226,27.24,42.12,1.91,0.0
2023-10-04,Haryana,Gurugram,28.37015524993778,76.94146217624308,26.08,48.72,2.14,0.0
2023-10-04,Haryana,Hisar,29.239590948148248,75.81763293528249,27.98,37.21,2.05,0.0
2023-10-04,Haryana,Jhajjar,28.59801797300188,76.65110859741466,26.08,48.72,2.14,0.0
2023-10-04,Haryana,Jind,29.437717022786757,76.27614551401206,26.08,48.01,2.1,0.0
2023-10-04,Haryana,Kaithal,29.85338633918043,76.46879317699411,24.55,58.76,1.98,0.0
2023-10-04,Haryana,Karnal,29.704818373204336,76.91565469449591,24.77,59.6,2.02,0.0
2023-10-04,Haryana,Kurukshetra,30.060670122952907,76.7631052787682,23.86,71.43,1.85,0.0
2023-10-04,Haryana,Mahendragarh,28.13306603907548,76.16809085698935,26.79,40.91,1.97,0.0
2023-10-04,Haryana,Nuh,27.994038226060827,77.0415066894139,25.99,48.65,2.1,0.0
2023-10-04,Haryana,Palwal,28.059881010119238,77.32236384154979,24.79,56.34,2.03,0.0
2023-10-04,Haryana,Panchkula,30.699534905048324,76.98763552598416,24.03,72.04,1.74,0.0
2023-10-04,Haryana,Panipat,29.34200687791469,76.88923900130017,24.77,59.6,2.02,0.0
